104, 14823350, 0, 0, 0
200, 34919597, 0, 0, 0
314, 30171925, 0, 0, 0
402, 42815427, 0, 0, 0
503, 17818023, 0, 0, 0
601, 13403873, 0, 0, 0
700, 20006100, 0, 0, 0
802, 30781832, 0, 0, 0
929, 17912203, 0, 0, 0
1010, 34447753, 0, 0, 0
1106, 20268028, 0, 0, 0
1206, 15675985, 0, 0, 0
1305, 18895578, 0, 0, 0
1401, 23189210, 0, 0, 0
1500, 20696420, 0, 0, 0
1607, 21087542, 0, 0, 0
1709, 26156301, 0, 0, 0
1802, 25109559, 0, 0, 0
1901, 22966951, 0, 0, 0
2000, 26466729, 0, 0, 0
2105, 16160266, 0, 0, 0
2200, 19495543, 0, 0, 0
2307, 13194738, 0, 0, 0
2400, 20865688, 0, 0, 0
2504, 27561599, 0, 0, 0
2601, 22142344, 0, 0, 0
2700, 18230873, 0, 0, 0
2801, 26910162, 0, 0, 0
2904, 21550878, 0, 0, 0
3000, 17840787, 0, 0, 0
3107, 18817800, 0, 0, 0
3208, 20794247, 0, 0, 0
3306, 38117484, 0, 0, 0
3400, 42641718, 0, 0, 0
3505, 16518346, 0, 0, 0
3601, 21773069, 0, 0, 0
3704, 33613808, 0, 0, 0
3802, 25058011, 0, 0, 0
3900, 15851563, 0, 0, 0
4006, 14693004, 0, 0, 0
4107, 29660871, 0, 0, 0
4212, 55245702, 0, 0, 0
4300, 25747275, 0, 0, 0
4400, 20102005, 0, 0, 0
4500, 16289137, 0, 0, 0
4601, 18917171, 0, 0, 0
4713, 21860964, 0, 0, 0
4825, 26641550, 0, 0, 0
4900, 21767481, 0, 0, 0
5001, 24228368, 0, 0, 0
5106, 30398187, 0, 0, 0
5202, 23959262, 0, 0, 0
5302, 26143329, 0, 0, 0
5404, 26881140, 0, 0, 0
5504, 24057548, 0, 0, 0
5617, 23782464, 0, 0, 0
5703, 22588520, 0, 0, 0
5813, 21425176, 0, 0, 0
5905, 28071453, 0, 0, 0
6000, 21771528, 0, 0, 0
6101, 18401969, 0, 0, 0
6202, 17288144, 0, 0, 0
6305, 27266823, 0, 0, 0
6411, 28177789, 0, 0, 0
6503, 29533699, 0, 0, 0
6601, 33282215, 0, 0, 0
6700, 18106730, 0, 0, 0
6802, 21171320, 0, 0, 0
6928, 22791639, 0, 0, 0
7002, 35783370, 0, 0, 0
7100, 20603132, 0, 0, 0
7203, 16510617, 0, 0, 0
7306, 15277924, 0, 0, 0
7401, 21310301, 0, 0, 0
7501, 20848712, 0, 0, 0
7608, 18676407, 0, 0, 0
7702, 23320984, 0, 0, 0
7801, 23388761, 0, 0, 0
7903, 30916107, 0, 0, 0
8002, 33260741, 0, 0, 0
8104, 25603432, 0, 0, 0
8201, 37254383, 0, 0, 0
8311, 20435755, 0, 0, 0
8405, 20076247, 0, 0, 0
8511, 22036911, 0, 0, 0
8602, 22555138, 0, 0, 0
8700, 18172855, 0, 0, 0
8800, 29493106, 0, 0, 0
8901, 20708107, 0, 0, 0
9000, 19138538, 0, 0, 0
9103, 20225546, 0, 0, 0
9201, 13314640, 0, 0, 0
9302, 40657494, 0, 0, 0
9400, 19634017, 0, 0, 0
9507, 17767987, 0, 0, 0
9600, 24126220, 0, 0, 0
9718, 28123417, 0, 0, 0
9805, 20576045, 0, 0, 0
9901, 33682873, 0, 0, 0
10002, 23827382, 0, 0, 0
10100, 18969141, 0, 0, 0
10200, 31537568, 0, 0, 0
10320, 21166931, 0, 0, 0
10404, 45685304, 0, 0, 0
10500, 22329892, 0, 0, 0
10605, 19216814, 0, 0, 0
10700, 17382236, 0, 0, 0
10800, 19448231, 0, 0, 0
