## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  49.40  185261.00  0.64  0.24  2.00  1.59 
 4  95.75  359080.00  0.66  1.82  2.75  1.90 
 8  170.72  640219.00  0.75  0.21  4.33  2.79 
 12  173.60  651321.00  1.10  3.81  4.49  2.81 
 16  207.35  777572.00  1.23  1.24  5.11  3.30 
 24  218.37  818903.00  1.75  1.18  5.88  3.76 
 32  224.79  842967.00  2.27  1.42  6.22  3.90 
 64  251.55  943336.00  4.07  2.13  6.64  4.29 
 96  285.39  1070280.00  5.38  2.72  7.44  4.82 
 128  335.07  1256522.00  6.11  3.41  9.14  5.68 
 192  393.76  1476800.00  7.80  4.24  10.73  7.03 
