## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  18.18  272779.00  0.44  0.21  2.30  1.74 
 4  32.05  480813.00  0.50  0.14  3.34  2.12 
 8  57.16  857453.00  0.56  0.27  5.98  3.59 
 12  70.51  1057645.00  0.68  0.33  6.43  3.91 
 16  78.59  1178825.00  0.81  0.38  6.99  4.35 
 24  84.87  1273060.00  1.13  0.42  7.98  4.71 
 32  88.83  1332402.00  1.44  0.46  7.86  5.07 
 64  94.18  1412654.00  2.72  0.95  9.11  5.36 
 96  94.86  1422921.00  4.05  1.51  8.59  5.27 
 128  96.62  1449288.00  5.30  2.11  9.47  5.46 
 192  99.95  1499442.00  7.68  3.48  9.34  5.69 
