## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 1  20.94  19634.00  3.04  1.75  0.61  0.22 
 2  53.17  49856.00  2.39  2.64  1.30  0.44 
 3  63.02  59081.00  3.03  3.15  1.57  0.52 
 4  71.67  67189.00  3.56  3.63  1.78  0.52 
 5  75.27  70566.00  4.24  4.02  1.84  0.60 
 8  84.38  79101.00  6.05  4.66  1.90  0.51 
 16  93.10  87292.00  10.99  6.24  2.18  0.48 
 24  103.18  96734.00  14.87  6.69  2.75  0.46 
 32  111.83  104823.00  18.30  7.92  3.37  0.52 
 64  139.97  131229.00  29.26  12.62  5.27  0.66 
 128  160.59  150508.00  51.01  22.84  6.49  0.71 
