## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  11.20  84015.00  1.42  2.27  1.24  0.67 
 4  20.02  150165.00  1.59  1.74  1.99  1.05 
 8  18.96  142187.00  3.37  3.18  1.73  0.88 
 12  21.32  159908.00  4.50  3.54  1.78  0.88 
 16  20.65  154893.00  6.19  4.33  1.54  0.72 
 24  20.00  149953.00  9.60  5.63  1.46  0.64 
 32  22.17  166311.00  11.54  5.66  1.55  0.70 
 64  25.06  187952.00  20.43  8.19  1.87  0.66 
 96  29.08  218086.00  26.41  9.90  2.24  0.80 
 128  30.61  229602.00  33.45  12.55  2.55  0.82 
 192  34.22  256635.00  44.91  18.22  3.00  0.96 
 256  37.54  281461.00  54.58  22.94  3.43  1.13 
