## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  171.65  160925.00  0.74  0.16  1.56  1.24 
 4  292.51  274228.00  0.87  0.17  2.25  1.56 
 6  351.74  329752.00  1.09  0.24  2.71  2.01 
 8  371.94  348695.00  1.37  0.28  2.92  1.95 
 16  419.52  393310.00  2.44  0.70  3.26  2.16 
 24  476.59  446814.00  3.22  1.26  3.64  2.47 
 32  551.68  517209.00  3.71  1.72  4.32  2.80 
 64  759.42  712000.00  5.39  2.68  6.16  4.04 
 128  1048.48  982975.00  7.81  4.24  9.48  5.99 
 192  1232.89  1155952.00  9.96  5.78  11.94  7.37 
 256  1352.96  1268546.00  12.11  7.44  13.55  8.31 
