## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 1  10.68  20030.00  2.98  1.31  0.47  0.21 
 2  26.70  50056.00  2.39  1.85  0.98  0.43 
 3  43.73  81990.00  2.18  2.11  1.57  0.69 
 4  50.22  94164.00  2.54  2.31  1.83  0.65 
 5  57.77  108327.00  2.76  2.25  2.04  0.81 
 8  65.04  121948.00  3.93  2.95  2.07  0.80 
 16  73.52  137841.00  6.96  4.12  2.18  0.70 
 24  79.29  148661.00  9.68  4.78  2.40  0.66 
 32  80.50  150963.00  12.71  5.65  2.49  0.65 
 64  89.99  168766.00  22.75  9.89  3.54  0.73 
 128  113.40  212599.00  36.12  16.06  5.39  0.91 
