## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  5.33  79979.00  1.50  1.86  1.14  0.63 
 4  7.90  118465.00  2.02  2.16  1.49  0.83 
 8  8.88  133184.00  3.60  3.30  1.48  0.73 
 12  9.56  143438.00  5.01  4.16  1.48  0.74 
 16  10.21  153088.00  6.27  4.63  1.55  0.76 
 24  10.49  157413.00  9.14  5.67  1.49  0.72 
 32  11.09  166339.00  11.54  6.14  1.56  0.66 
 64  12.50  187529.00  20.48  8.48  1.70  0.74 
 96  13.38  200767.00  28.71  11.19  1.80  0.80 
 128  14.26  213839.00  35.93  13.81  1.99  0.81 
 192  15.26  228816.00  50.38  19.53  2.20  0.87 
 256  15.86  237772.00  64.60  25.13  2.34  0.93 
