## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 1  66.73  62561.00  0.94  0.60  2.00  0.52 
 2  100.38  94106.00  1.26  1.21  2.68  0.75 
 3  121.61  114028.00  1.56  1.60  2.94  0.95 
 4  137.69  129083.00  1.84  1.70  3.44  1.02 
 5  136.63  128093.00  2.33  2.04  3.35  0.99 
 8  147.56  138335.00  3.45  2.47  3.64  1.06 
 16  150.97  141535.00  6.77  4.05  3.84  0.86 
 24  167.07  156621.00  9.18  4.66  4.41  0.99 
 32  171.59  160901.00  11.92  5.49  4.96  0.78 
 64  187.19  175483.00  21.86  10.00  7.02  0.86 
 128  196.43  184069.00  41.70  16.76  8.21  0.87 
