## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu
 4  6772.22  406340.00  0.59  0.10  3.98  2.44 
 8  11877.42  712657.00  0.67  0.12  7.64  4.99 
 12  15319.88  919208.00  0.78  0.12  10.82  7.48 
 16  17728.25  1063713.00  0.90  0.16  12.50  8.90 
 24  21311.06  1278685.00  1.12  0.24  13.03  9.71 
 48  26906.52  1614445.00  1.78  0.56  13.65  10.18 
 64  28924.44  1735524.00  2.21  0.75  14.44  10.01 
 128  32324.80  1939617.00  3.95  2.23  14.38  9.73 
 256  33389.67  2004115.00  7.66  12.63  14.59  9.47 
 384  33736.98  2025602.00  11.38  26.21  16.05  9.41 
