## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  12.89  96654.00  1.23  1.19  1.43  0.74 
 4  13.57  101768.00  2.35  2.60  1.42  0.74 
 8  15.60  116975.00  4.10  3.54  1.42  0.70 
 12  15.60  117015.00  6.15  4.73  1.33  0.58 
 16  15.31  114813.00  8.36  5.81  1.22  0.57 
 24  17.80  133466.00  10.78  6.15  1.35  0.67 
 32  18.03  135244.00  14.19  7.29  1.40  0.56 
 64  20.37  152799.00  25.13  11.33  1.59  0.60 
 96  22.90  171728.00  33.55  14.03  1.88  0.66 
 128  24.52  183780.00  41.77  16.70  2.18  0.69 
 192  27.24  204305.00  56.40  23.33  2.43  0.94 
 256  29.26  219441.00  70.01  30.92  2.79  1.00 
