## num_jobs: 1
# iodepth bw total_ios clat_ms clat_stdev usr_cpu sys_cpu
 2  32.64  244822.00  0.48  0.25  2.13  1.46 
 4  65.57  491813.00  0.48  0.13  3.42  2.32 
 8  92.92  696879.00  0.69  0.24  4.96  3.15 
 12  97.94  734535.00  0.98  0.34  5.12  3.52 
 16  101.98  766555.00  1.25  1.06  5.34  3.43 
 24  99.44  745808.00  1.93  2.86  5.18  3.51 
 32  103.75  778146.00  2.46  2.94  5.51  3.52 
 64  104.85  786431.00  4.88  5.28  5.63  3.59 
 96  111.26  834470.00  6.90  5.11  6.02  3.86 
 128  118.26  887073.00  8.66  4.82  6.39  4.12 
 192  130.84  981417.00  11.74  7.36  7.06  4.59 
